,name,experience,employment,created_at,selary,address,type,schedule,work_schedule_by_days,working_hours
126882917,Оператор ПК/Администратор,От 1 года до 3 лет,Полная занятость,2025-10-23 T15:49:11,55000-None RUR,"Люберцы, Октябрьский проспект, 338А",Открытая,Сменный график,1/3,24 часа
126785102,Оператор на телефонные звонки,Нет опыта,Полная занятость,2025-10-24 T15:05:03,300000-350000 KZT,"Алматы, улица Василия Бенберина, 16",Открытая,Полный день,5/2,8 часов
126913084,Оператор производственного учёта в 1С,От 1 года до 3 лет,Полная занятость,2025-10-24 T13:30:36,80000-None RUR,"Санкт-Петербург, проспект Непокорённых, 63к36",Открытая,Полный день,5/2,8 часов
126911596,Оператор call-центра (отдел контроля качества),От 1 года до 3 лет,Полная занятость,2025-10-24 T13:01:48,50000-50000 RUR,Не указано,Открытая,Удаленная работа,5/2,8 часов
126682978,Оператор ПЭВМ,Нет опыта,Полная занятость,2025-10-18 T14:17:14,1500-None BYR,"Минск, улица Притыцкого, 62к2",Открытая,Полный день,5/2,8 часов
126894651,Оператор ПК (Помощник менеджера по продажам),От 1 года до 3 лет,Полная занятость,2025-10-24 T08:04:23,60000-60000 RUR,"Екатеринбург, улица 8 Марта, 207",Открытая,Полный день,5/2,8 часов
126721713,Оператор на производство,От 1 года до 3 лет,Полная занятость,2025-10-20 T11:43:51,80000-110000 RUR,"Пермь, 3-я Теплопроводная улица, 6А",Открытая,Полный день,5/2,8 часов
126850207,Оператор производственной линии,От 1 года до 3 лет,Полная занятость,2025-10-23 T09:44:00,75000-130000 RUR,"Липецк, Универсальный проезд, 11",Открытая,Сменный график,2/2,11 часов
126216647,Печатник-оператор в типографию,Нет опыта,Полная занятость,2025-10-07 T06:39:16,170000-None KZT,"Астана, проспект Женис, 75к2",Открытая,Полный день,5/2,4 часа
126844803,Оператор 1С,От 1 года до 3 лет,Полная занятость,2025-10-23 T08:43:22,Не указано,Не указано,Открытая,Полный день,5/2,8 часов
126862017,Оператор раскроечного планшета,Нет опыта,Полная занятость,2025-10-23 T10:55:52,110000-130000 RUR,"Дзержинский, улица Академика Жукова, 42",Открытая,Полный день,5/2,8 часов
126871221,Оператор на месяц,Нет опыта,Полная занятость,2025-10-23 T12:33:49,35000-None RUR,"Тутаев, Промышленная улица, 27",Открытая,Сменный график,2/2,12 часов
126876291,Оператор ввода данных / Оператор ПК / Оператор БД (FineReader),От 1 года до 3 лет,Полная занятость,2025-10-23 T13:58:54,Не указано,Не указано,Открытая,Удаленная работа,5/2,8 часов
126878613,Оператор ПК/Оператор базы данных,От 1 года до 3 лет,Полная занятость,2025-10-23 T14:37:22,50000-None RUR,"Краснодар, Новороссийская улица, 51",Открытая,Полный день,5/2,8 часов
126218494,"Оператор 1C- бух, в отдел продаж",От 1 года до 3 лет,Полная занятость,2025-10-07 T07:47:29,200000-250000 KZT,"Алматы, улица Кенесары Хана, 124",Открытая,Полный день,5/2,8 часов
126750116,Оператор производственной линии,Нет опыта,Полная занятость,2025-10-20 T18:56:10,110000-None RUR,"Дубна, улица Новаторов",Открытая,Сменный график,2/2,12 часов
126798055,Оператор,Нет опыта,Полная занятость,2025-10-22 T02:36:27,50000-None RUR,Благовещенск,Открытая,Полный день,5/2,8 часов
125027863,"Оператор 1С, Excel",Нет опыта,Полная занятость,2025-10-02 T07:45:46,60000-None RUR,"Екатеринбург, Сибирский тракт, 12/8",Открытая,Полный день,5/2,8 часов
125655055,Оператор заявок,От 1 года до 3 лет,Полная занятость,2025-10-23 T05:04:54,60000-None RUR,"Красноярск, улица Алексеева, 111",Открытая,Полный день,4/2,8 часов
126812072,Начинающий специалист / Оператор 1С,От 1 года до 3 лет,Полная занятость,2025-10-22 T10:50:32,65000-150000 RUR,"Красногорск, Ильинское шоссе, 1А",Открытая,Полный день,5/2,8 часов
126807652,Оператор 1С по выписке,Нет опыта,Полная занятость,2025-10-22 T09:47:59,55000-None RUR,"Краснодар, Уральская улица, 95",Открытая,Полный день,5/2,8 часов
126762325,Оператор call-центра стоматологии,От 1 года до 3 лет,Полная занятость,2025-10-21 T09:50:04,75000-120000 RUR,"Москва, улица Пресненский Вал, 14к3",Открытая,Удаленная работа,5/2,8 часов
126911239,Оператор 1С,От 1 года до 3 лет,Полная занятость,2025-10-24 T12:54:32,50000-None RUR,"село Столбище, Лесхозовская улица, 32",Открытая,Полный день,5/2,8 часов
126768046,Оператор чатов,От 1 года до 3 лет,Полная занятость,2025-10-21 T11:05:44,50000-55000 RUR,Не указано,Открытая,Удаленная работа,2/2,12 часов
126101685,Оператор ПК,Нет опыта,Полная занятость,2025-10-03 T10:38:42,120000-None RUR,Не указано,Открытая,Гибкий график,6/1,10 часов
126757263,Оператор call-центра в МФЦ Автодокументы,Нет опыта,Полная занятость,2025-10-24 T08:19:22,60000-80000 RUR,"Набережные Челны, проспект Раиса Беляева, 2Б",Открытая,Сменный график,2/2,12 часов
126746409,Оператор 1С,От 1 года до 3 лет,Полная занятость,2025-10-20 T17:27:28,60000-None RUR,"Тверь, улица Коминтерна, 48",Открытая,Сменный график,2/2,12 часов
126759406,Оператор 1С,От 1 года до 3 лет,Полная занятость,2025-10-21 T09:06:48,70000-70000 RUR,"Хабаровск, Краснореченская улица, 92Б",Открытая,Полный день,5/2,8 часов
126863434,Оператор ПК / специалист по работе с клиентами (продукты питания),От 1 года до 3 лет,Полная занятость,2025-10-23 T11:04:50,45000-45000 RUR,"Омск, улица Маршала Жукова, 25",Открытая,Полный день,5/2,8 часов
126897386,Оператор-наладчик станков ЧПУ,От 1 года до 3 лет,Полная занятость,2025-10-24 T09:15:10,120000-170000 RUR,"Казань, проезд Хэрэкэт, 10",Открытая,Сменный график,3/3,12 часов
126911708,Оператор 1С (Домодедовская),От 1 года до 3 лет,Полная занятость,2025-10-24 T13:03:18,Не указано,деревня Апаринки,Открытая,Полный день,5/2,8 часов
126427649,Оператор ПК,Нет опыта,Полная занятость,2025-10-11 T13:48:56,140000-170000 KZT,"Алматы, улица Гани Муратбаева, 195",Открытая,Сменный график,2/2,12 часов
126719757,Оператор БПЛА,От 1 года до 3 лет,Полная занятость,2025-10-20 T11:28:53,70000-110000 RUR,"Елабужский район, промышленная площадка Алабуга",Открытая,Полный день,5/2,8 часов
126734854,Оператор по обработке первичной документации (1C),От 1 года до 3 лет,Полная занятость,2025-10-20 T14:45:23,90000-None RUR,"Московский, Солнечная улица, 2с25",Открытая,Сменный график,1/3,24 часа
126751580,Удаленный менеджер-оператор (работа из дома) / Интернет-магазин,От 1 года до 3 лет,Полная занятость,2025-10-20 T21:51:57,40000-80000 RUR,Не указано,Открытая,Удаленная работа,2/2,12 часов
121816196,Оператор производственной линии,Нет опыта,Полная занятость,2025-10-13 T09:58:16,120000-None RUR,"посёлок Шушары, улица Мира, 7",Открытая,Полный день,5/2,8 часов
126709315,Помощник оператора производства,Нет опыта,Полная занятость,2025-10-20 T10:30:58,102000-None RUR,"Боровский район, улица 6-я Площадка, 1",Открытая,Гибкий график,2/2,12 часов
126784439,Ученик оператора станков с ЧПУ,Нет опыта,Полная занятость,2025-10-21 T14:56:07,50000-None RUR,село Горный Щит,Открытая,Полный день,5/2,8 часов
126864387,Оператор склада,От 1 года до 3 лет,Полная занятость,2025-10-23 T11:11:12,80000-90000 RUR,село Новый Милет,Открытая,Сменный график,1/3,24 часа
126357282,Оператор по обработке заказов,От 1 года до 3 лет,Полная занятость,2025-10-24 T12:57:43,70000-90000 RUR,"Москва, улица Годовикова, 9с3",Открытая,Удаленная работа,2/2,11 часов
126787119,Оператор ПК/Оператор базы данных,От 1 года до 3 лет,Полная занятость,2025-10-21 T15:36:09,40000-None RUR,"Вологда, Окружное шоссе, 55",Открытая,Полный день,5/2,8 часов
126864591,Оператор пк (менеджер),От 1 года до 3 лет,Полная занятость,2025-10-23 T11:12:34,50000-None RUR,"Ижевск, Лесозаводская улица, 25",Открытая,Полный день,5/2,8 часов
126871508,Оператор call-центра,От 1 года до 3 лет,Полная занятость,2025-10-23 T12:38:56,90000-None RUR,"Санкт-Петербург, улица Савушкина, 126",Открытая,Удаленная работа,2/2,12 часов
126346302,Оператор на производство,Нет опыта,Полная занятость,2025-10-09 T10:08:35,100000-140000 RUR,"село Еганово, Промышленная улица, 1",Открытая,Гибкий график,5/2,9 часов
126630137,Оператор 1С (Гибрид),От 1 года до 3 лет,Полная занятость,2025-10-22 T22:39:57,50000-None RUR,"Санкт-Петербург, Кондратьевский проспект, 2Л",Открытая,Удаленная работа,5/2,8 часов
126811869,Оператор ПК в офис на Логистику,Нет опыта,Полная занятость,2025-10-22 T10:47:38,80000-90000 RUR,"Москва, Боровая улица, 7с10",Открытая,Полный день,5/2,8 часов
126813527,Оператор колл-центра (работа в офисе!),От 1 года до 3 лет,Полная занятость,2025-10-22 T11:10:20,60000-None RUR,"Екатеринбург, улица Фурманова, 124",Открытая,Сменный график,2/2,12 часов
126819034,Оператор 1C,Нет опыта,Полная занятость,2025-10-22 T12:39:44,60000-80000 RUR,"Москва, Алтуфьевское шоссе, 37с11",Открытая,Сменный график,2/2,11 часов
126756312,Оператор 1С,От 1 года до 3 лет,Полная занятость,2025-10-21 T07:55:37,55000-55000 RUR,"Челябинск, улица Героев Танкограда, 1А/1",Открытая,Полный день,5/2,8 часов
